PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
Clindamycin + ketoconazole,clindamycin  ketoconazole,clindamycin ketoconazole,clindamycin ketoconazole
Clindamycin Cream,clindamycin cream,clindamycin,clindamycin
Clindamycin Gel,clindamycin gel,clindamycin,clindamycin
Clindamycin Phos-Benzoyl Perox Gel,clindamycin phos benzoyl perox gel,clindamycin phos benzoyl perox,clindamycin phos benzoyl perox
Clindamycin Phosphate,clindamycin phosphate,clindamycin phosphate,clindamycin phosphate
Clindamycin Phosphate Gel,clindamycin phosphate gel,clindamycin phosphate,clindamycin phosphate
Clindamycin Phosphate vaginal cream,clindamycin phosphate vaginal cream,clindamycin phosphate,clindamycin phosphate
Clindamycin gel,clindamycin gel,clindamycin,clindamycin
Clindamycin topical gel,clindamycin topical gel,clindamycin,clindamycin
Clindamycin vag,clindamycin vag,clindamycin,clindamycin
Clindamycin-Benzoil Peroxide,clindamycin benzoil peroxide,clindamycin benzoil peroxide,clindamycin benzoyl peroxide
Clindamycin/benzoyl peroxide,clindamycinbenzoyl peroxide,clindamycinbenzoyl peroxide,clindamycinbenzoyl peroxide
Clindomycin,clindomycin,clindomycin,clindamycin
Clobetasol,clobetasol,clobetasol,clobetasol
Clobetasol external solution,clobetasol external solution,clobetasol external solution,clobetasol external solution
Clobetasol oropionate,clobetasol oropionate,clobetasol oropionate,clobetasol propionate
Clobex,clobex,clobex,clobex
Clocortolone Pivalate,clocortolone pivalate,clocortolone pivalate,clocortolone pivalate
Clomid,clomid,clomid,clomid
Clomiphene,clomiphene,clomiphene,clomiphene
Clonazepam,clonazepam,clonazepam,clonazepam
Clonidine,clonidine,clonidine,clonidine
Clopidogrel,clopidogrel,clopidogrel,clopidogrel
Clotrimazole,clotrimazole,clotrimazole,clotrimazole
Clotrimazole (Topical),clotrimazole topical,clotrimazole,clotrimazole
Clotrimazole / Betamethasone,clotrimazole  betamethasone,clotrimazole betamethasone,clotrimazole betamethasone
Clotrimazole 1 % vaginal cream,clotrimazole   vaginal cream,clotrimazole,clotrimazole
Clotrimazole 1%,clotrimazole ,clotrimazole,clotrimazole
Clotrimazole Ext Solution,clotrimazole ext solution,clotrimazole ext solution,clotrimazole ext solution
Clotrimazole VAG CRM,clotrimazole vag crm,clotrimazole,clotrimazole
Clotrimazole cream,clotrimazole cream,clotrimazole,clotrimazole
Clotrimazole external solution,clotrimazole external solution,clotrimazole external solution,clotrimazole external solution
Clotrimazole vaginal cream,clotrimazole vaginal cream,clotrimazole,clotrimazole
Clotrimazole-Betamethasone,clotrimazole betamethasone,clotrimazole betamethasone,clotrimazole betamethasone
Clotrimazole-Betamethasone 1-0.05 %,clotrimazole betamethasone   ,clotrimazole betamethasone,clotrimazole betamethasone
Clotrimazole-betamethasone,clotrimazole betamethasone,clotrimazole betamethasone,clotrimazole betamethasone
Clotrimazole/Betamethasone,clotrimazolebetamethasone,clotrimazolebetamethasone,clotrimazolebetamethasone
Clotrimazole/betamethasone,clotrimazolebetamethasone,clotrimazolebetamethasone,clotrimazolebetamethasone
Clotrimazole/betamethasone cream,clotrimazolebetamethasone cream,clotrimazolebetamethasone,clotrimazolebetamethasone
Clotrimazole/betamethasone topical,clotrimazolebetamethasone topical,clotrimazolebetamethasone,clotrimazolebetamethasone
Clozal,clozal,clozal,coal
CoEnzyme 10,coenzyme ,coenzyme,coenzyme q
CoQ 10,coq ,coq,coq
CoQ10,coq,coq,coq
Cocaine metabolites,cocaine metabolites,cocaine metabolites,cocaine metabolites
Coconut Oil,coconut oil,coconut oil,coconut oil
Cod Liver Oil,cod liver oil,cod liver oil,cod liver oil
Codeine,codeine,codeine,codeine
Codeine-Guafenesin,codeine guafenesin,codeine guafenesin,codeine  guaifenesin
Codeine-guaifenesin,codeine guaifenesin,codeine guaifenesin,codeine  guaifenesin
Codeine/guaifenesin,codeineguaifenesin,codeineguaifenesin,codeine  guaifenesin
Codeine/paracetamol,codeineparacetamol,codeineparacetamol,codeineparacetamol
Coenzyme Q,coenzyme q,coenzyme q,coenzyme q
Coenzyme Q10,coenzyme q,coenzyme q,coenzyme q
Coenzyme q10,coenzyme q,coenzyme q,coenzyme q
Colace,colace,colace,colace
Colase,colase,colase,colase
Cold and sinus medicine,cold and sinus medicine,cold and sinus medicine,cod and sinus medicine
Colesevelam,colesevelam,colesevelam,colesevelam
Collagen,collagen,collagen,collagen
Collagenase,collagenase,collagenase,collagenase
Combivir,combivir,combivir,combivir
Compazine,compazine,compazine,compazine
Complera,complera,complera,complex
Concept DHA,concept dha,concept dha,concept dha
Coq10,coq,coq,coq
Cosyntropin,cosyntropin,cosyntropin,cosyntropin
Cough Syrup,cough syrup,cough syrup,cough syrup
Cough drops,cough drops,cough,cough
Cough medication,cough medication,cough medication,cough medication
Cough medicine,cough medicine,cough medicine,cough medicine
Cranberry,cranberry,cranberry,cranberry
Cranberry Pills,cranberry pills,cranberry pills,cranberry pills
Cranberry,cranberry,cranberry,cranberry
Cranberry-Vitamin C-Vitamin E,cranberry vitamin c vitamin e,cranberry vitamin c vitamin e,cranberry vitamin c vitamin e
Cranberry-Vitamin C-Probiotic,cranberry vitamin c probiotic,cranberry vitamin c probiotic,cranberry vitamin c probiotic
Cranberry-Vitamin C-Vitamin E,cranberry vitamin c vitamin e,cranberry vitamin c vitamin e,cranberry vitamin c vitamin e
Crinone,crinone,crinone,crinone
Cromolyn Sodium,cromolyn sodium,cromolyn,cromolyn
Cromolyn drops,cromolyn drops,cromolyn,cromolyn
Culturel,culturel,culturel,cultured
Culturell,culturell,culturell,cultured
Cyanocobalamin,cyanocobalamin,cyanocobalamin,cyanocobalamin
Cyanocobalamin,cyanocobalamin,cyanocobalamin,cyanocobalamin
Methylcobalamin,methylcobalamin,methylcobalamin,mecobalamin
Cyanocobolamine,cyanocobolamine,cyanocobolamine,cyanocobolamine
Cyclobenzapine,cyclobenzapine,cyclobenzapine,cyclobenzaprine
Cyclobenzaprin,cyclobenzaprin,cyclobenzaprin,cyclobenzaprine
Cyclobenzaprine,cyclobenzaprine,cyclobenzaprine,cyclobenzaprine
Cyclobenzaprine HCl,cyclobenzaprine hcl,cyclobenzaprine,cyclobenzaprine
Cyclosporine,cyclosporine,cyclosporine,cyclosporine
Cymbalta,cymbalta,cymbalta,cymbalta
Cyotxan,cyotxan,cyotxan,cyotxan
Cyproheptadine,cyproheptadine,cyproheptadine,cyproheptadine
Cytalopram,cytalopram,cytalopram,citalopram
Cytomel,cytomel,cytomel,cytomel
D-Mannose,d mannose,d mannose,mannose
D-mannose,d mannose,d mannose,mannose
D3-50,d ,d,d
DECARA,decara,decara,decara
DEPAKOTE,depakote,depakote,depakote
DEPLIN,deplin,deplin,deplin
DEPO-PROVERA,depo provera,depo provera,depo provera
DESYREL,desyrel,desyrel,desyrel
DEXILANT,dexilant,dexilant,dexilant
DEXTROMETHORPHAN-GUAIFENESIN,dextromethorphan guaifenesin,dextromethorphan guaifenesin,dextromethorphan  guaifenesin
DHA,dha,dha,dha
DHA ORAL,dha oral,dha,dha
DHA oral,dha oral,dha,dha
DHEA,dhea,dhea,dhea
DIABETA,diabeta,diabeta,diabeta
DICLEGIS,diclegis,diclegis,diclegis
DIFLUCAN,diflucan,diflucan,diflucan
DIPHENHYDRAMINE,diphenhydramine,diphenhydramine,diphenhydramine
DIclegis,diclegis,diclegis,diclegis
DM medication,dm medication,dm medication,dm medication
DOC-Q-LACE,doc q lace,doc q lace,doc q lace
DOCULASE,doculase,doculase,doculase
DOCUSATE,docusate,docusate,docusate
DOCUSATE SODIUM,docusate sodium,docusate,docusate
DOK,dok,dok,dok
DOXYLAMINE-PYRIDOXINE,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
DPT vaccine,dpt vaccine,dpt vaccine,dpt vaccine
DRISDOL,drisdol,drisdol,drisdol
DULoxetine,duloxetine,duloxetine,duloxetine
DYMISTA,dymista,dymista,dymista
Dapagliflozin-Metformin,dapagliflozin metformin,dapagliflozin metformin,dapagliflozin metformin
Dapsone,dapsone,dapsone,dapsone
Darbepoetin,darbepoetin,darbepoetin,darbepoetin alfa
Darbopoetin,darbopoetin,darbopoetin,darbepoetin
Decadron,decadron,decadron,decadron
Decara,decara,decara,decara
Decligis,decligis,decligis,decligis
Delsym,delsym,delsym,delsym
Deltasone,deltasone,deltasone,deltasone
Delzicol,delzicol,delzicol,delzicol
Depakote,depakote,depakote,depakote
Deplin,deplin,deplin,deplin
Deplin 15,deplin ,deplin,deplin
Depo- Provera,depo  provera,depo provera,depo provera
Depo-Provera,depo provera,depo provera,depo provera
Descovy,descovy,descovy,descovy
Desmopressin,desmopressin,desmopressin,desmopressin
Desogestrel-ethinyl estradiol,desogestrel ethinyl estradiol,desogestrel ethinyl estradiol,desogestrel  ethinyl estradiol
Desoximetasone,desoximetasone,desoximetasone,desoximetasone
Dexalant,dexalant,dexalant,dexalant
Dexamethasone,dexamethasone,dexamethasone,dexamethasone
Dexamethasone ophthalmic suspension,dexamethasone ophthalmic suspension,dexamethasone ophthalmic suspension,dexamethasone ophthalmic suspension
Dexchlorphen-Pseudoephedrine-Chlophedianol,dexchlorphen pseudoephedrine chlophedianol,dexchlorphen pseudoephedrine chlophedianol,hexachlorophene pseudoephedrine chlophedianol
Dexilant,dexilant,dexilant,dexilant
Dexlansoprazol,dexlansoprazol,dexlansoprazol,dexlansoprazole
Dexlansoprazole,dexlansoprazole,dexlansoprazole,dexlansoprazole
Dextroamphetamine,dextroamphetamine,dextroamphetamine,dextroamphetamine
Dextromethorphan,dextromethorphan,dextromethorphan,dextromethorphan
Dextromethorphan HBr,dextromethorphan hbr,dextromethorphan,dextromethorphan
Dextromethorphan Polistirex 15,dextromethorphan polistirex ,dextromethorphan polistirex,dextromethorphan polistirex
Dextromethorphan-Guaifenesin,dextromethorphan guaifenesin,dextromethorphan guaifenesin,dextromethorphan  guaifenesin
Dextromethorphan-benzocaine,dextromethorphan benzocaine,dextromethorphan benzocaine,dextromethorphan  doxylamine
Dextromethorphan-guaifenesin,dextromethorphan guaifenesin,dextromethorphan guaifenesin,dextromethorphan  guaifenesin
Dextrometorphan,dextrometorphan,dextrometorphan,dextromethorphan
Dextrometorphan-guaifenesin,dextrometorphan guaifenesin,dextrometorphan guaifenesin,dextromethorphan  guaifenesin
Dextrose 5%,dextrose ,dextrose,dextrose
Diabeta,diabeta,diabeta,diabeta
Diabetes pills,diabetes pills,diabetes pills,diabetes pills
Diazepam,diazepam,diazepam,diazepam
Diclegax,diclegax,diclegax,diclegax
Diclegis,diclegis,diclegis,diclegis
Diclegist,diclegist,diclegist,diclegist
Diclegx,diclegx,diclegx,diclegx
Diclgis,diclgis,diclgis,diclgis
Dicliges,dicliges,dicliges,dicliges
Dicligis,dicligis,dicligis,dicligis
Dicloxacillin,dicloxacillin,dicloxacillin,dicloxacillin
Dicloxacin,dicloxacin,dicloxacin,dicloxacillin
Dicyclomin,dicyclomin,dicyclomin,dicyclomine
Dicyclomine,dicyclomine,dicyclomine,dicyclomine
Diethyltoluamide,diethyltoluamide,diethyltoluamide,diethyltoluamide
Diethyltoluamide spray,diethyltoluamide spray,diethyltoluamide,diethyltoluamide
Diethytoluamide,diethytoluamide,diethytoluamide,diethytoluamide
Diflucan,diflucan,diflucan,diflucan
Difuclan,difuclan,difuclan,difuclan
Digestive Enzymes,digestive enzymes,digestive enzymes,digestive enzyme
Digestive enzymes,digestive enzymes,digestive enzymes,digestive enzyme
Diglecis,diglecis,diglecis,diglecis
Diglesis,diglesis,diglesis,diglesis
Digoxin,digoxin,digoxin,digoxin
Dilantin,dilantin,dilantin,dilantin
Dilaudid,dilaudid,dilaudid,dilaudid
Dimenhydrinate,dimenhydrinate,dimenhydrinate,dimenhydrinate
Diosmin-Hesperidin Methyl Chal,diosmin hesperidin methyl chal,diosmin hesperidin methyl chal,diosmin hesperidin methyl chal
Diovan,diovan,diovan,diovan
Diphen Hydramine,diphen hydramine,diphen hydramine,diphenhydramine
Diphenhidramine,diphenhidramine,diphenhidramine,diphenhydramine
Diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine
Diphenhydramine-APAP,diphenhydramine apap,diphenhydramine apap,diphenhydramine
Diphenhydramine-Pseudoephed,diphenhydramine pseudoephed,diphenhydramine pseudoephed,diphenhydramine  pseudoephedrine
Diphenhydramine/maalox/lidocaine,diphenhydraminemaaloxlidocaine,diphenhydraminemaaloxlidocaine,diphenhydraminemaaloxlidocaine
Diphenhydraminesyrup-lidocaine mucosal solution-magnesium-aluminum-hydroxide-simethicone,diphenhydraminesyrup lidocaine mucosal solution magnesium aluminum hydroxide simethicone,diphenhydraminesyrup lidocaine mucosal solution magnesium aluminum hydroxide simethicone,diphenhydramine lidocaine mucosal solution magnesium aluminum hydroxide simethicone
Diphenoxylate-Atropine,diphenoxylate atropine,diphenoxylate atropine,diphenoxylate atropine
Diphenoxylate-atropine,diphenoxylate atropine,diphenoxylate atropine,diphenoxylate atropine
Diprivan,diprivan,diprivan,diprivan
Dluocinolone topical,dluocinolone topical,dluocinolone,fluocinolone
Docosahexaenoic,docosahexaenoic,docosahexaenoic,docosahexaenoic acid
Docosahexaenoic Acid,docosahexaenoic acid,docosahexaenoic acid,docosahexaenoic acid
Docosahexaenoic Acid Oral  	Docosahexaenoic Acid,docosahexaenoic acid oral  	docosahexaenoic acid,docosahexaenoic acid oral docosahexaenoic acid,docosahexaenoic acid coral docosahexaenoic acid
Docosahexaenoic acid,docosahexaenoic acid,docosahexaenoic acid,docosahexaenoic acid
Docosahexanoic Acid,docosahexanoic acid,docosahexanoic acid,docosahexaenoic acid
Docqlace,docqlace,docqlace,docqlace
Docusate,docusate,docusate,docusate
Docusate Calcium,docusate calcium,docusate calcium,docusate calcium
Docusate Sodium,docusate sodium,docusate,docusate
Docusate calcium,docusate calcium,docusate calcium,docusate calcium
Docusate sodium,docusate sodium,docusate,docusate
Dolutegravir,dolutegravir,dolutegravir,dolutegravir
Doxorubicin,doxorubicin,doxorubicin,doxorubicin
Doxorubicin and Cyclophosphamide,doxorubicin and cyclophosphamide,doxorubicin and cyclophosphamide,doxorubicin and cyclophosphamide
Doxyalmine-Pyridoxine,doxyalmine pyridoxine,doxyalmine pyridoxine,doxylamine pyridoxine
Doxyamine Succinate,doxyamine succinate,doxyamine succinate,doxylamine succinate
Doxycline,doxycline,doxycline,doxycycline
Doxycycline,doxycycline,doxycycline,doxycycline
Doxycycline Hyclate,doxycycline hyclate,doxycycline hyclate,doxycycline hyclate
Doxycyline,doxycyline,doxycyline,doxycycline
Doxylamine,doxylamine,doxylamine,doxylamine
Doxylamine - Pyridoxine,doxylamine   pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
Doxylamine Pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
Doxylamine Succinate,doxylamine succinate,doxylamine succinate,doxylamine succinate
Doxylamine Succinate (Sleep),doxylamine succinate sleep,doxylamine succinate sleep,doxylamine succinate
Doxylamine Succinate,doxylamine succinate,doxylamine succinate,doxylamine succinate
Sleep,sleep,sleep,sleep
Doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
Doxylamine succinate,doxylamine succinate,doxylamine succinate,doxylamine succinate
Doxylamine succinate (unisom),doxylamine succinate unisom,doxylamine succinate unisom,doxylamine succinate
Doxylamine succinate-pyridoxine,doxylamine succinate pyridoxine,doxylamine succinate pyridoxine,doxylamine succinate pyridoxine
Doxylamine- pyridoxine,doxylamine  pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
Doxylamine-Pyridoxin,doxylamine pyridoxin,doxylamine pyridoxin,doxylamine pyridoxine
Doxylamine-Pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
Doxylamine-Pyridoxine 10-10 MG,doxylamine pyridoxine   mg,doxylamine pyridoxine,doxylamine pyridoxine
Doxylamine-Pyridoxine ER,doxylamine pyridoxine er,doxylamine pyridoxine er,doxylamine pyridoxine er
Doxylamine-pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
Doxylamine/Pyridoxine,doxylaminepyridoxine,doxylaminepyridoxine,doxylaminepyridoxine
Doxylamine; pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine,doxylamine pyridoxine
Dramamine,dramamine,dramamine,dramamine
Drospirenone,drospirenone,drospirenone,drospirenone
Drug test positive for opiates,drug test positive for opiates,drug test positive for opiates,drug test positive for opiates
Ducolax,ducolax,ducolax,ducolax
Duiflican,duiflican,duiflican,duiflican
Dulcolax,dulcolax,dulcolax,dulcolax
Dulera,dulera,dulera,dulera
Dulera Inh,dulera inh,dulera,dulera
Duloxetine,duloxetine,duloxetine,duloxetine
Duronivir,duronivir,duronivir,duronivir
Dust mites,dust mites,dust mites,dust mite
Dxtromethorphan Guaifenesin,dxtromethorphan guaifenesin,dxtromethorphan guaifenesin,dextromethorphan  guaifenesin
Dyphenhydramine,dyphenhydramine,dyphenhydramine,diphenhydramine
Dyphenydramine,dyphenydramine,dyphenydramine,diphenhydramine
EMTRICITABINE-TENOFOVIR,emtricitabine tenofovir,emtricitabine tenofovir,emtricitabine tenofovir
ENALAPRIL MALEATE,enalapril maleate,enalapril maleate,enalapril maleate
ENOXAPARIN,enoxaparin,enoxaparin,enoxaparin
ENOXAPARIN SODIUM 10 MG/0.1ML SC SOLN,enoxaparin sodium  mgml sc soln,enoxaparin sodium mgml sc,enoxaparin sodium
ENSTILAR,enstilar,enstilar,enstilar
EPA,epa,epa,epa
EPHEDrine,ephedrine,ephedrine,ephedrine
EPICERAM,epiceram,epiceram,epiceram
EPIDRIN,epidrin,epidrin,epidrin
EPINEPHrine,epinephrine,epinephrine,epinephrine
ERGOCALCIFEROL,ergocalciferol,ergocalciferol,ergocalciferol
ERGOcalciferol,ergocalciferol,ergocalciferol,ergocalciferol
ESCITALOPRAM,escitalopram,escitalopram,escitalopram
EVENING PRIMROSE,evening primrose,evening primrose,evening primrose oil
EVENING PRIMROSE OIL,evening primrose oil,evening primrose oil,evening primrose oil
EXCEDRIN EXTRA STRENGTH,excedrin extra strength,excedrin,excedrin
Echinacea,echinacea,echinacea,echinacea
Eculizumab,eculizumab,eculizumab,eculizumab
Efavirenz-Emtricitabine-Tenofovir,efavirenz emtricitabine tenofovir,efavirenz emtricitabine tenofovir,efavirenz emtricitabine tenofovir
Effexor,effexor,effexor,effexor
Effient,effient,effient,effient
Eflornithine,eflornithine,eflornithine,eflornithine
Elavil,elavil,elavil,elavil
Elivil,elivil,elivil,elivil
Ellura (Natural cranberry),ellura natural cranberry,ellura natural cranberry,ellura natural cranberry
Elviteg-Cobic-Emtricitabine-Tenofovir,elviteg cobic emtricitabine tenofovir,elviteg cobic emtricitabine tenofovir,elviteg cobic emtricitabine tenofovir
Emetrol,emetrol,emetrol,emetrol
Empagliflozin,empagliflozin,empagliflozin,empagliflozin
Emtricitab-Rilpivir-Tenofovir,emtricitab rilpivir tenofovir,emtricitab rilpivir tenofovir,emtricitabine rilpivirine tenofovir
Emtricitabine / Rilpivirine / Tenofovir,emtricitabine  rilpivirine  tenofovir,emtricitabine rilpivirine tenofovir,emtricitabine rilpivirine tenofovir
Emtricitabine / Tenofovir,emtricitabine  tenofovir,emtricitabine tenofovir,emtricitabine tenofovir
Emtricitabine-tenofovir,emtricitabine tenofovir,emtricitabine tenofovir,emtricitabine tenofovir
Emtricitabine/Tenofovir,emtricitabinetenofovir,emtricitabinetenofovir,emtricitabinetenofovir
Emtricitabine/rilpivirine/tenofovir,emtricitabinerilpivirinetenofovir,emtricitabinerilpivirinetenofovir,emtricitabinerilpivirinetenofovir
